P	T	Melt	Cpx	Opx	Plag	Amp	Bt	Grt	Ilm	Sph	Ru	Qtz	\n
10.67	800	6	7.859	0.000	12.748	51.981	0.000	11.951	0.000	0.444	0.000	8.939	\n
11.16	837	10	10.968	0.000	13.987	40.027	0.000	18.404	0.000	0.000	0.263	6.532	\n
11.67	875	15	14.968	0.000	15.008	24.403	0.000	26.546	0.000	0.000	0.485	3.208	\n
12.00	900	21	18.565	0.000	15.521	11.409	0.000	32.949	0.000	0.000	0.725	0.241	\n
12.33	925	23	19.861	0.000	14.151	6.122	0.000	35.999	0.000	0.000	0.825	0.000	\n
12.67	950	25	20.696	0.000	12.459	1.991	0.000	38.473	0.000	0.000	0.918	0.000	\n
13.33	1000	30	20.990	0.000	8.636	0.000	0.000	38.758	0.000	0.000	0.969	0.000	\n











	
	
