SlNo.	Rb	Nb	Ta	La	Ce	Nd	Sr	Sm	Ti	Eu	Gd	Tb	Dy	Y	Er	Yb	Lu	\n
Sng_0014	90.00	6.00	NaN	24.30	45.40	19.30	231.00	4.40	2278.13	0.85	3.80	0.60	3.80	24.00	2.20	2.20	0.33	\n
Sng_0066	95.00	NaN	NaN	14.40	26.50	9.62	259.00	2.10	791.35	0.35	2.09	0.37	2.31	14.30	1.25	1.14	0.19	\n
Sng_0047	49.00	3.00	0.40	32.60	57.60	22.60	556.00	3.70	1918.43	1.03	2.30	0.30	1.30	7.00	0.60	0.50	0.07	\n
Sng_0044	50.00	4.00	0.40	27.10	48.70	18.30	502.00	3.10	2098.28	0.91	2.00	0.30	1.40	8.00	0.80	0.60	0.10	\n
Sng_0045	47.00	6.00	1.00	28.00	50.10	18.90	494.00	3.40	1738.57	0.86	2.20	0.30	1.50	9.00	0.80	0.90	0.12	\n
Sng_0046	69.00	4.00	0.70	9.80	16.20	7.60	413.00	1.60	1318.92	0.61	1.20	0.20	1.20	13.00	0.60	0.70	0.11	\n
Sng_0048	19.00	3.00	0.40	12.40	21.30	7.90	416.00	1.70	299.75	0.39	1.30	0.20	0.80	6.00	0.40	0.40	0.06	\n
Sng_0102	67.70	5.00	0.49	24.10	41.20	15.50	409.00	2.42	1558.72	0.66	1.80	0.22	1.02	7.10	0.40	0.30	0.05	\n
Sng_0103	97.30	11.00	1.02	30.20	54.10	18.90	310.00	3.27	1438.82	0.72	2.74	0.41	1.99	13.40	0.80	0.69	0.11	\n
Sng_0049	53.00	NaN	NaN	24.40	43.80	15.50	420.00	2.79	1522.75	0.77	2.30	0.32	1.78	10.40	1.00	0.87	0.12	\n
Sng_0065	88.00	NaN	NaN	16.50	30.40	11.10	406.00	2.02	2182.21	0.71	1.46	0.18	0.94	4.60	0.43	0.42	0.06	\n
Sng_0091	40.70	7.40	1.03	20.00	33.50	11.50	286.00	1.94	1199.02	0.61	1.43	0.18	0.85	5.40	0.29	0.26	0.04	\n
Sng_0089	65.40	7.40	0.50	41.30	76.00	24.80	377.00	4.31	3237.34	0.97	3.20	0.39	1.40	10.10	0.62	0.55	0.08	\n
Sng_0115	80.00	9.00	1.40	43.40	74.70	22.40	602.00	3.30	2517.93	0.94	2.70	0.40	1.80	9.00	0.80	0.90	0.12	\n
Sng_0112	67.00	9.00	0.80	93.70	164.00	49.80	655.00	6.70	3357.24	1.52	3.90	0.50	2.30	15.00	1.20	1.00	0.15	\n
Sng_0111	60.00	6.00	0.80	34.60	64.30	23.90	543.00	4.30	2697.79	1.15	2.90	0.40	2.20	13.00	1.10	0.90	0.13	\n
Sng_0116	27.00	11.00	0.80	33.60	76.80	31.60	667.00	5.70	3716.95	1.54	4.90	0.60	3.40	18.00	1.90	1.60	0.23	\n
Sng_0117	56.00	13.00	0.80	13.20	36.90	21.50	556.00	4.90	3716.95	1.41	4.00	0.50	3.20	17.00	1.70	1.60	0.26	\n
Sng_0114	82.00	8.00	0.60	21.40	40.20	16.00	252.00	2.90	2937.59	0.80	2.40	0.30	1.90	10.00	1.10	1.00	0.16	\n
Sng_0113	42.00	13.00	1.90	37.90	83.90	39.60	633.00	7.50	4616.21	2.07	6.00	0.90	5.00	24.00	2.50	2.10	0.33	\n
