P	T	Melt	Cpx	Opx	Plag	Amp	Bt	Grt	Ilm	Sph	Ru	Qtz	\n
8.12	812	5	2.503	0.000	21.087	61.111	0.000	0.000	0.895	0.000	0.000	9.226	\n
8.69	869	11	7.244	0.000	21.634	52.447	0.000	0.394	0.844	0.000	0.000	6.795	\n
9.00	900	21	11.105	5.730	24.832	30.208	0.000	4.541	1.636	0.000	0.000	1.354	\n
9.05	906	23	11.927	7.383	25.860	25.129	0.000	4.944	1.862	0.000	0.000	0.000	\n
9.25	925	26	13.050	7.096	24.355	20.824	0.000	7.032	1.984	0.000	0.000	0.000	\n
9.50	950	30	14.402	6.448	22.184	15.617	0.000	9.422	2.157	0.000	0.000	0.000	\n
9.75	975	35	15.651	5.509	19.751	10.836	0.000	11.435	2.347	0.000	0.000	0.000	\n











	
	
